Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
43,11,0,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
23,11,4,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
8,2,12,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
15,12,7,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
39,13,2,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
30,15,4,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
4,1,10,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
20,19,4,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
17,10,5,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
13,3,21,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
4,5,0,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
3,0,0,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
3,5,0,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
0,0,19,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
36,17,17,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
27,2,12,-0.0051127120613525178,-0.0030274802049370156,0.011339475549255941,0.0061104582843714483,0.012296051075904544,-0.0090277777777777908,-0.0081093605189989423,0.1850000000000005,-0.11748780487804861,-0.047142857142856896,-0.030080110497237439,0
