Pos,Neg,DaysOld,Mag1,Mag2,Mag3,Mag4,Mag5,Mag6,Mag7,Reg1,Reg2,Reg3,Reg4,dayoftheweek
14,24,0,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
18,9,0,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
19,4,0,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
35,12,0,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
5,10,13,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
48,32,3,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
24,18,26,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
26,5,27,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
4,4,0,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
0,0,13,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
17,9,3,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
0,0,13,-0.0061000406669377222,-0.0022962698372199246,0.0030781859224298315,-0.0053922067351714429,-0.0014300306435137953,-0.0049872773536895152,0.0,0.22999999999999687,-0.7425609756097552,-0.60000000000000042,-0.23805524861878466,0
